Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0001,3/30/2020,SP_SYS,Inability to  access ERP system,Inability to  access ERP system,Checked system logs and found no errors,Rebooted system and user was able to access ERP system again.,
TK0002,3/31/2020,SP_SYS,Error message when attempting to access customer account,Error message when attempting to access customer account,Checked customer account settings and found no issues,Reset customer account password and user was able to access customer account.,
TK0003,4/1/2020,SP_SYS,Unable to create new order,Unable to create new order,Reviewed order form and found no issues,Verified user permissions and user was able to create new order.,
TK0004,4/2/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0005,4/3/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,ERRSYS0127
TK0006,4/4/2020,SP_SYS,Error when attempting to add new product,Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0007,4/5/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0008,4/6/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0009,4/7/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0010,4/8/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0011,4/9/2020,SP_SYS,Inability to access ERP system,Inability to access ERP system,Checked system logs and found no errors,Rebooted system and user was able to access ERP system again.,
TK0012,4/10/2020,SP_SYS,Error when attempting to update customer information,Error when attempting to update customer information,Reviewed customer information and found no errors,Verified user permissions and user was able to update customer information.,
TK0013,4/11/2020,SP_SYS,Error when attempting to delete product,Error when attempting to delete product,Reviewed product form and found no errors,Verified user permissions and user was able to delete product.,
TK0014,4/12/2020,SP_SYS,Error when attempting to change password,Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,ERRSYS0234
TK0015,4/13/2020,SP_SYS,Error when attempting to generate invoice,Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0016,4/14/2020,SP_SYS,Unable to save changes to customer account,Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0017,4/15/2020,SP_SYS,Error when attempting to add new order,Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0018,4/16/2020,SP_SYS,Error when attempting to run report,Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0019,4/17/2020,SP_SYS,Error when attempting to add new user,Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0020,4/18/2020,SP_SYS,Error when attempting to update inventory,Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0021,4/19/2020,SP_SYS,Error when attempting to delete customer account,Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
